"Country or Area","Year","Area","Code of Month","Value",""
"Austria","2001","Total","999999","75458",""
"Austria","2001","Total","001001","6611",""
"Austria","2001","Total","002002","5866",""
"Austria","2001","Total","003003","6376",""
"Austria","2001","Total","004004","6187",""
"Austria","2001","Total","005005","6409",""
"Austria","2001","Total","006006","6127",""
"Austria","2001","Total","007007","6625",""
"Austria","2001","Total","008008","6491",""
"Austria","2001","Total","009009","6513",""
"Austria","2001","Total","010010","6372",""
"Austria","2001","Total","011011","5801",""
"Austria","2001","Total","012012","6080",""
"Austria","2000","Total","999999","78268",""
"Austria","2000","Total","001001","6587",""
"Austria","2000","Total","002002","6384",""
"Austria","2000","Total","003003","6799",""
"Austria","2000","Total","004004","6327",""
"Austria","2000","Total","005005","6668",""
"Austria","2000","Total","006006","6419",""
"Austria","2000","Total","007007","6755",""
"Austria","2000","Total","008008","6685",""
"Austria","2000","Total","009009","6827",""
"Austria","2000","Total","010010","6433",""
"Austria","2000","Total","011011","6101",""
"Austria","2000","Total","012012","6283",""
"Belgium","2001","Total","999999","115372",""
"Belgium","2001","Total","001001","9928",""
"Belgium","2001","Total","002002","8686",""
"Belgium","2001","Total","003003","9843",""
"Belgium","2001","Total","004004","9627",""
"Belgium","2001","Total","005005","10074",""
"Belgium","2001","Total","006006","9503",""
"Belgium","2001","Total","007007","10119",""
"Belgium","2001","Total","008008","10000",""
"Belgium","2001","Total","009009","9313",""
"Belgium","2001","Total","010010","9866",""
"Belgium","2001","Total","011011","9172",""
"Belgium","2001","Total","012012","9241",""
"Bulgaria","2001","Total","999999","68180",""
"Bulgaria","2001","Total","001001","5932",""
"Bulgaria","2001","Total","002002","5537",""
"Bulgaria","2001","Total","003003","5889",""
"Bulgaria","2001","Total","004004","5489",""
"Bulgaria","2001","Total","005005","5801",""
"Bulgaria","2001","Total","006006","5662",""
"Bulgaria","2001","Total","007007","6184",""
"Bulgaria","2001","Total","008008","5991",""
"Bulgaria","2001","Total","009009","5889",""
"Bulgaria","2001","Total","010010","5752",""
"Bulgaria","2001","Total","011011","4858",""
"Bulgaria","2001","Total","012012","5196",""
"Bulgaria","2000","Total","999999","73679",""
"Bulgaria","2000","Total","001001","6436",""
"Bulgaria","2000","Total","002002","6024",""
"Bulgaria","2000","Total","003003","6371",""
"Bulgaria","2000","Total","004004","5883",""
"Bulgaria","2000","Total","005005","6259",""
"Bulgaria","2000","Total","006006","6209",""
"Bulgaria","2000","Total","007007","6664",""
"Bulgaria","2000","Total","008008","6529",""
"Bulgaria","2000","Total","009009","6248",""
"Bulgaria","2000","Total","010010","5716",""
"Bulgaria","2000","Total","011011","5253",""
"Bulgaria","2000","Total","012012","6087",""
"Croatia","2001","Total","999999","40993",""
"Croatia","2001","Total","001001","3656",""
"Croatia","2001","Total","002002","3142",""
"Croatia","2001","Total","003003","3352",""
"Croatia","2001","Total","004004","3385",""
"Croatia","2001","Total","005005","3359",""
"Croatia","2001","Total","006006","3185",""
"Croatia","2001","Total","007007","3596",""
"Croatia","2001","Total","008008","3648",""
"Croatia","2001","Total","009009","3646",""
"Croatia","2001","Total","010010","3432",""
"Croatia","2001","Total","011011","3209",""
"Croatia","2001","Total","012012","3383",""
"Croatia","2000","Total","999999","43746",""
"Croatia","2000","Total","001001","3827",""
"Croatia","2000","Total","002002","3550",""
"Croatia","2000","Total","003003","3589",""
"Croatia","2000","Total","004004","3417",""
"Croatia","2000","Total","005005","3600",""
"Croatia","2000","Total","006006","3429",""
"Croatia","2000","Total","007007","3864",""
"Croatia","2000","Total","008008","3739",""
"Croatia","2000","Total","009009","3896",""
"Croatia","2000","Total","010010","3737",""
"Croatia","2000","Total","011011","3548",""
"Croatia","2000","Total","012012","3550",""
"Cyprus","2001","Total","999999","8167",""
"Cyprus","2001","Total","001001","708",""
"Cyprus","2001","Total","002002","608",""
"Cyprus","2001","Total","003003","648",""
"Cyprus","2001","Total","004004","560",""
"Cyprus","2001","Total","005005","625",""
"Cyprus","2001","Total","006006","692",""
"Cyprus","2001","Total","007007","786",""
"Cyprus","2001","Total","008008","724",""
"Cyprus","2001","Total","009009","747",""
"Cyprus","2001","Total","010010","769",""
"Cyprus","2001","Total","011011","689",""
"Cyprus","2001","Total","012012","611",""
"Cyprus","2000","Total","999999","8447",""
"Cyprus","2000","Total","001001","776",""
"Cyprus","2000","Total","002002","611",""
"Cyprus","2000","Total","003003","643",""
"Cyprus","2000","Total","004004","596",""
"Cyprus","2000","Total","005005","654",""
"Cyprus","2000","Total","006006","707",""
"Cyprus","2000","Total","007007","754",""
"Cyprus","2000","Total","008008","760",""
"Cyprus","2000","Total","009009","737",""
"Cyprus","2000","Total","010010","783",""
"Cyprus","2000","Total","011011","763",""
"Cyprus","2000","Total","012012","663",""
"Czechia","2001","Total","999999","90715",""
"Czechia","2001","Total","001001","7574",""
"Czechia","2001","Total","002002","6798",""
"Czechia","2001","Total","003003","7878",""
"Czechia","2001","Total","004004","7948",""
"Czechia","2001","Total","005005","8207",""
"Czechia","2001","Total","006006","7870",""
"Czechia","2001","Total","007007","8088",""
"Czechia","2001","Total","008008","7889",""
"Czechia","2001","Total","009009","7396",""
"Czechia","2001","Total","010010","7301",""
"Czechia","2001","Total","011011","6950",""
"Czechia","2001","Total","012012","6816",""
"Czechia","2000","Total","999999","90910",""
"Czechia","2000","Total","001001","7557",""
"Czechia","2000","Total","002002","7142",""
"Czechia","2000","Total","003003","8025",""
"Czechia","2000","Total","004004","7983",""
"Czechia","2000","Total","005005","8391",""
"Czechia","2000","Total","006006","7837",""
"Czechia","2000","Total","007007","7906",""
"Czechia","2000","Total","008008","7797",""
"Czechia","2000","Total","009009","7269",""
"Czechia","2000","Total","010010","7177",""
"Czechia","2000","Total","011011","6946",""
"Czechia","2000","Total","012012","6880",""
"Denmark","2001","Total","999999","65458",""
"Denmark","2001","Total","001001","5577",""
"Denmark","2001","Total","002002","4980",""
"Denmark","2001","Total","003003","5603",""
"Denmark","2001","Total","004004","5362",""
"Denmark","2001","Total","005005","5827",""
"Denmark","2001","Total","006006","5559",""
"Denmark","2001","Total","007007","5861",""
"Denmark","2001","Total","008008","5847",""
"Denmark","2001","Total","009009","5429",""
"Denmark","2001","Total","010010","5462",""
"Denmark","2001","Total","011011","5095",""
"Denmark","2001","Total","012012","4856",""
"Denmark","2000","Total","999999","67084",""
"Denmark","2000","Total","001001","5439",""
"Denmark","2000","Total","002002","5193",""
"Denmark","2000","Total","003003","5578",""
"Denmark","2000","Total","004004","5768",""
"Denmark","2000","Total","005005","5716",""
"Denmark","2000","Total","006006","5718",""
"Denmark","2000","Total","007007","5963",""
"Denmark","2000","Total","008008","5882",""
"Denmark","2000","Total","009009","5689",""
"Denmark","2000","Total","010010","5719",""
"Denmark","2000","Total","011011","5266",""
"Denmark","2000","Total","012012","5153",""
"Estonia","2001","Total","999999","12632",""
"Estonia","2001","Total","001001","1099",""
"Estonia","2001","Total","002002","951",""
"Estonia","2001","Total","003003","1158",""
"Estonia","2001","Total","004004","1027",""
"Estonia","2001","Total","005005","1176",""
"Estonia","2001","Total","006006","1083",""
"Estonia","2001","Total","007007","1048",""
"Estonia","2001","Total","008008","1096",""
"Estonia","2001","Total","009009","1027",""
"Estonia","2001","Total","010010","1020",""
"Estonia","2001","Total","011011","971",""
"Estonia","2001","Total","012012","976",""
"Estonia","2000","Total","999999","13067",""
"Estonia","2000","Total","001001","1131",""
"Estonia","2000","Total","002002","1022",""
"Estonia","2000","Total","003003","1176",""
"Estonia","2000","Total","004004","1116",""
"Estonia","2000","Total","005005","1188",""
"Estonia","2000","Total","006006","1176",""
"Estonia","2000","Total","007007","1121",""
"Estonia","2000","Total","008008","1099",""
"Estonia","2000","Total","009009","1026",""
"Estonia","2000","Total","010010","1025",""
"Estonia","2000","Total","011011","965",""
"Estonia","2000","Total","012012","1022",""
"Finland","2001","Total","999999","56189",""
"Finland","2001","Total","001001","4805",""
"Finland","2001","Total","002002","4407",""
"Finland","2001","Total","003003","4870",""
"Finland","2001","Total","004004","4842",""
"Finland","2001","Total","005005","4800",""
"Finland","2001","Total","006006","4877",""
"Finland","2001","Total","007007","4813",""
"Finland","2001","Total","008008","4862",""
"Finland","2001","Total","009009","4735",""
"Finland","2001","Total","010010","4644",""
"Finland","2001","Total","011011","4313",""
"Finland","2001","Total","012012","4221",""
"Finland","2000","Total","999999","56742",""
"Finland","2000","Total","001001","4768",""
"Finland","2000","Total","002002","4497",""
"Finland","2000","Total","003003","4970",""
"Finland","2000","Total","004004","4759",""
"Finland","2000","Total","005005","5001",""
"Finland","2000","Total","006006","4835",""
"Finland","2000","Total","007007","5043",""
"Finland","2000","Total","008008","4853",""
"Finland","2000","Total","009009","4693",""
"Finland","2000","Total","010010","4536",""
"Finland","2000","Total","011011","4359",""
"Finland","2000","Total","012012","4428",""
"France","2001","Total","999999","770945",""
"France","2001","Total","001001","64850",""
"France","2001","Total","002002","57456",""
"France","2001","Total","003003","63962",""
"France","2001","Total","004004","62957",""
"France","2001","Total","005005","67673",""
"France","2001","Total","006006","63176",""
"France","2001","Total","007007","68550",""
"France","2001","Total","008008","66010",""
"France","2001","Total","009009","63452",""
"France","2001","Total","010010","66765",""
"France","2001","Total","011011","63160",""
"France","2001","Total","012012","62934",""
"France","2000","Total","999999","774782",""
"France","2000","Total","001001","63559",""
"France","2000","Total","002002","60149",""
"France","2000","Total","003003","64315",""
"France","2000","Total","004004","62469",""
"France","2000","Total","005005","67324",""
"France","2000","Total","006006","63940",""
"France","2000","Total","007007","67916",""
"France","2000","Total","008008","66778",""
"France","2000","Total","009009","64297",""
"France","2000","Total","010010","65720",""
"France","2000","Total","011011","63262",""
"France","2000","Total","012012","65053",""
"Germany","2001","Total","999999","734475",""
"Germany","2001","Total","001001","63906",""
"Germany","2001","Total","002002","55518",""
"Germany","2001","Total","003003","60892",""
"Germany","2001","Total","004004","58822",""
"Germany","2001","Total","005005","63234",""
"Germany","2001","Total","006006","61365",""
"Germany","2001","Total","007007","66373",""
"Germany","2001","Total","008008","65577",""
"Germany","2001","Total","009009","63156",""
"Germany","2001","Total","010010","61158",""
"Germany","2001","Total","011011","57174",""
"Germany","2001","Total","012012","57300",""
"Greece","2001","Total","999999","102282",""
"Greece","2001","Total","001001","8484",""
"Greece","2001","Total","002002","7497",""
"Greece","2001","Total","003003","8475",""
"Greece","2001","Total","004004","7936",""
"Greece","2001","Total","005005","8455",""
"Greece","2001","Total","006006","8458",""
"Greece","2001","Total","007007","9429",""
"Greece","2001","Total","008008","9072",""
"Greece","2001","Total","009009","9023",""
"Greece","2001","Total","010010","9279",""
"Greece","2001","Total","011011","8444",""
"Greece","2001","Total","012012","7730",""
"Greece","2000","Total","999999","103267",""
"Greece","2000","Total","001001","8890",""
"Greece","2000","Total","002002","7686",""
"Greece","2000","Total","003003","8159",""
"Greece","2000","Total","004004","7712",""
"Greece","2000","Total","005005","8172",""
"Greece","2000","Total","006006","8663",""
"Greece","2000","Total","007007","9665",""
"Greece","2000","Total","008008","9412",""
"Greece","2000","Total","009009","9138",""
"Greece","2000","Total","010010","8994",""
"Greece","2000","Total","011011","8678",""
"Greece","2000","Total","012012","8098",""
"Hungary","2001","Total","999999","97047",""
"Hungary","2001","Total","001001","8462",""
"Hungary","2001","Total","002002","7490",""
"Hungary","2001","Total","003003","8292",""
"Hungary","2001","Total","004004","7882",""
"Hungary","2001","Total","005005","8047",""
"Hungary","2001","Total","006006","7869",""
"Hungary","2001","Total","007007","8824",""
"Hungary","2001","Total","008008","8487",""
"Hungary","2001","Total","009009","8258",""
"Hungary","2001","Total","010010","7981",""
"Hungary","2001","Total","011011","7621",""
"Hungary","2001","Total","012012","7834",""
"Hungary","2000","Total","999999","97597",""
"Hungary","2000","Total","001001","8161",""
"Hungary","2000","Total","002002","7761",""
"Hungary","2000","Total","003003","8091",""
"Hungary","2000","Total","004004","7547",""
"Hungary","2000","Total","005005","8008",""
"Hungary","2000","Total","006006","8063",""
"Hungary","2000","Total","007007","8533",""
"Hungary","2000","Total","008008","8523",""
"Hungary","2000","Total","009009","8156",""
"Hungary","2000","Total","010010","8233",""
"Hungary","2000","Total","011011","8183",""
"Hungary","2000","Total","012012","8338",""
"Ireland","2001","Total","999999","57854",""
"Ireland","2001","Total","001001","4797",""
"Ireland","2001","Total","002002","4310",""
"Ireland","2001","Total","003003","4741",""
"Ireland","2001","Total","004004","4683",""
"Ireland","2001","Total","005005","4892",""
"Ireland","2001","Total","006006","4684",""
"Ireland","2001","Total","007007","5173",""
"Ireland","2001","Total","008008","5099",""
"Ireland","2001","Total","009009","5081",""
"Ireland","2001","Total","010010","4924",""
"Ireland","2001","Total","011011","4773",""
"Ireland","2001","Total","012012","4697",""
"Ireland","2000","Total","999999","54789",""
"Ireland","2000","Total","001001","4467",""
"Ireland","2000","Total","002002","4267",""
"Ireland","2000","Total","003003","4584",""
"Ireland","2000","Total","004004","4460",""
"Ireland","2000","Total","005005","4677",""
"Ireland","2000","Total","006006","4589",""
"Ireland","2000","Total","007007","4745",""
"Ireland","2000","Total","008008","4652",""
"Ireland","2000","Total","009009","4680",""
"Ireland","2000","Total","010010","4656",""
"Ireland","2000","Total","011011","4566",""
"Ireland","2000","Total","012012","4446",""
"Italy","2001","Total","999999","535282",""
"Italy","2001","Total","001001","44862",""
"Italy","2001","Total","002002","37837",""
"Italy","2001","Total","003003","42692",""
"Italy","2001","Total","004004","41703",""
"Italy","2001","Total","005005","47106",""
"Italy","2001","Total","006006","43419",""
"Italy","2001","Total","007007","47683",""
"Italy","2001","Total","008008","45910",""
"Italy","2001","Total","009009","46176",""
"Italy","2001","Total","010010","46465",""
"Italy","2001","Total","011011","41957",""
"Italy","2001","Total","012012","42030",""
"Italy","2001","Total","888888","7442",""
"Italy","2000","Total","999999","543039",""
"Italy","2000","Total","001001","44926",""
"Italy","2000","Total","002002","40573",""
"Italy","2000","Total","003003","43761",""
"Italy","2000","Total","004004","43342",""
"Italy","2000","Total","005005","47415",""
"Italy","2000","Total","006006","44595",""
"Italy","2000","Total","007007","48994",""
"Italy","2000","Total","008008","47388",""
"Italy","2000","Total","009009","47821",""
"Italy","2000","Total","010010","47148",""
"Italy","2000","Total","011011","44182",""
"Italy","2000","Total","012012","42894",""
"Latvia","2001","Total","999999","19726",""
"Latvia","2001","Total","001001","1705",""
"Latvia","2001","Total","002002","1510",""
"Latvia","2001","Total","003003","1773",""
"Latvia","2001","Total","004004","1580",""
